DATE,WPS5121
2009-06-01,100.3
2009-07-01,101.0
2009-08-01,101.8
2009-09-01,101.8
2009-10-01,103.1
2009-11-01,103.2
2009-12-01,103.4
2010-01-01,103.9
2010-02-01,104.1
2010-03-01,104.3
2010-04-01,104.6
2010-05-01,104.7
2010-06-01,104.9
2010-07-01,104.9
2010-08-01,105.1
2010-09-01,105.3
2010-10-01,105.7
2010-11-01,105.7
2010-12-01,105.8
2011-01-01,106.0
2011-02-01,106.3
2011-03-01,106.5
2011-04-01,106.9
2011-05-01,107.2
2011-06-01,107.4
2011-07-01,107.8
2011-08-01,108.0
2011-09-01,108.3
2011-10-01,108.3
2011-11-01,108.4
2011-12-01,108.7
2012-01-01,109.0
2012-02-01,109.3
2012-03-01,109.4
2012-04-01,109.8
2012-05-01,110.2
2012-06-01,110.3
2012-07-01,110.7
2012-08-01,111.0
2012-09-01,111.0
2012-10-01,111.0
2012-11-01,111.0
2012-12-01,111.5
2013-01-01,111.8
2013-02-01,112.1
2013-03-01,112.2
2013-04-01,111.9
2013-05-01,112.2
2013-06-01,112.3
2013-07-01,112.5
2013-08-01,112.7
2013-09-01,112.9
2013-10-01,113.5
2013-11-01,113.5
2013-12-01,113.6
2014-01-01,113.6
2014-02-01,113.7
2014-03-01,113.9
2014-04-01,114.1
2014-05-01,114.3
2014-06-01,114.4
2014-07-01,114.4
2014-08-01,114.5
2014-09-01,114.7
2014-10-01,114.6
2014-11-01,114.9
2014-12-01,114.9
2015-01-01,115.4
2015-02-01,115.6
2015-03-01,115.8
2015-04-01,116.0
2015-05-01,116.1
2015-06-01,116.3
2015-07-01,116.4
2015-08-01,116.8
2015-09-01,117.1
2015-10-01,116.7
2015-11-01,116.9
2015-12-01,117.2
2016-01-01,117.4
2016-02-01,117.7
2016-03-01,117.9
2016-04-01,118.0
2016-05-01,118.4
2016-06-01,118.6
2016-07-01,119.2
2016-08-01,119.4
2016-09-01,119.6
2016-10-01,119.6
2016-11-01,119.8
2016-12-01,120.0
2017-01-01,120.0
2017-02-01,120.0
2017-03-01,120.2
2017-04-01,120.3
2017-05-01,120.6
2017-06-01,121.0
2017-07-01,120.8
2017-08-01,121.0
2017-09-01,121.3
2017-10-01,121.7
2017-11-01,121.9
2017-12-01,122.2
2018-01-01,122.3
2018-02-01,122.7
2018-03-01,122.9
2018-04-01,123.5
2018-05-01,123.8
2018-06-01,123.9
2018-07-01,124.2
2018-08-01,124.3
2018-09-01,124.7
2018-10-01,125.4
2018-11-01,125.7
2018-12-01,126.2
2019-01-01,125.9
2019-02-01,126.5
2019-03-01,126.9
2019-04-01,127.0
2019-05-01,127.2
2019-06-01,127.6
2019-07-01,127.9
2019-08-01,128.0
2019-09-01,128.3
2019-10-01,128.7
2019-11-01,129.0
2019-12-01,129.2
2020-01-01,129.6
2020-02-01,130.0
2020-03-01,130.1
2020-04-01,131.0
2020-05-01,132.2
2020-06-01,132.5
2020-07-01,132.9
2020-08-01,133.2
2020-09-01,133.5
2020-10-01,133.4
2020-11-01,133.7
2020-12-01,133.9
2021-01-01,134.2
2021-02-01,134.8
2021-03-01,135.0
2021-04-01,135.1
2021-05-01,135.4
2021-06-01,135.4
2021-07-01,135.670
2021-08-01,136.237
2021-09-01,137.220
2021-10-01,136.825
2021-11-01,137.107
2021-12-01,137.460
2022-01-01,139.029
2022-02-01,139.049
2022-03-01,139.261
2022-04-01,139.156
2022-05-01,139.805
2022-06-01,140.425
2022-07-01,141.612
2022-08-01,141.812
2022-09-01,142.201
2022-10-01,142.744
2022-11-01,143.226
2022-12-01,143.820
2023-01-01,144.698
2023-02-01,145.181
2023-03-01,145.907
2023-04-01,146.276
2023-05-01,146.684
2023-06-01,147.103
2023-07-01,147.620
2023-08-01,147.491
2023-09-01,149.057
2023-10-01,149.941
2023-11-01,150.232
2023-12-01,151.025
2024-01-01,152.104
2024-02-01,152.425
2024-03-01,152.742
2024-04-01,152.683
2024-05-01,153.386
2024-06-01,153.887
2024-07-01,154.670
2024-08-01,155.212
2024-09-01,155.699
