DATE,PCUASHCASHC
2006-12-01,100.0
2007-01-01,101.5
2007-02-01,101.8
2007-03-01,101.8
2007-04-01,101.8
2007-05-01,101.7
2007-06-01,101.9
2007-07-01,102.1
2007-08-01,102.2
2007-09-01,102.5
2007-10-01,103.7
2007-11-01,103.6
2007-12-01,103.9
2008-01-01,104.3
2008-02-01,104.4
2008-03-01,104.5
2008-04-01,104.5
2008-05-01,104.5
2008-06-01,104.4
2008-07-01,104.8
2008-08-01,104.9
2008-09-01,104.9
2008-10-01,105.7
2008-11-01,105.8
2008-12-01,105.9
2009-01-01,106.8
2009-02-01,107.0
2009-03-01,107.1
2009-04-01,107.1
2009-05-01,107.3
2009-06-01,107.4
2009-07-01,107.6
2009-08-01,108.0
2009-09-01,108.0
2009-10-01,109.2
2009-11-01,109.3
2009-12-01,109.4
2010-01-01,110.0
2010-02-01,110.2
2010-03-01,110.3
2010-04-01,110.4
2010-05-01,110.3
2010-06-01,110.5
2010-07-01,110.6
2010-08-01,110.8
2010-09-01,110.9
2010-10-01,111.5
2010-11-01,111.5
2010-12-01,111.5
2011-01-01,111.9
2011-02-01,112.2
2011-03-01,112.4
2011-04-01,112.5
2011-05-01,112.5
2011-06-01,112.6
2011-07-01,112.8
2011-08-01,113.0
2011-09-01,113.2
2011-10-01,113.6
2011-11-01,113.7
2011-12-01,113.9
2012-01-01,114.4
2012-02-01,114.5
2012-03-01,114.5
2012-04-01,114.6
2012-05-01,114.7
2012-06-01,114.8
2012-07-01,115.1
2012-08-01,115.2
2012-09-01,115.3
2012-10-01,115.7
2012-11-01,115.6
2012-12-01,115.9
2013-01-01,116.5
2013-02-01,116.7
2013-03-01,116.8
2013-04-01,116.1
2013-05-01,116.1
2013-06-01,116.3
2013-07-01,116.5
2013-08-01,116.4
2013-09-01,116.6
2013-10-01,117.2
2013-11-01,117.3
2013-12-01,117.3
2014-01-01,117.7
2014-02-01,117.8
2014-03-01,117.8
2014-04-01,117.8
2014-05-01,117.8
2014-06-01,117.8
2014-07-01,117.9
2014-08-01,118.1
2014-09-01,118.2
2014-10-01,118.0
2014-11-01,118.1
2014-12-01,118.2
2015-01-01,118.2
2015-02-01,118.2
2015-03-01,118.3
2015-04-01,118.4
2015-05-01,118.3
2015-06-01,118.4
2015-07-01,118.5
2015-08-01,118.8
2015-09-01,118.8
2015-10-01,119.0
2015-11-01,119.1
2015-12-01,119.1
2016-01-01,119.3
2016-02-01,119.4
2016-03-01,119.5
2016-04-01,119.5
2016-05-01,119.5
2016-06-01,119.6
2016-07-01,119.9
2016-08-01,120.2
2016-09-01,120.3
2016-10-01,120.8
2016-11-01,120.8
2016-12-01,120.8
2017-01-01,121.1
2017-02-01,121.1
2017-03-01,121.2
2017-04-01,121.3
2017-05-01,121.3
2017-06-01,121.5
2017-07-01,121.6
2017-08-01,121.7
2017-09-01,121.8
2017-10-01,122.7
2017-11-01,122.6
2017-12-01,122.6
2018-01-01,123.2
2018-02-01,123.4
2018-03-01,123.5
2018-04-01,123.7
2018-05-01,123.8
2018-06-01,123.8
2018-07-01,124.1
2018-08-01,124.2
2018-09-01,124.3
2018-10-01,124.9
2018-11-01,125.0
2018-12-01,125.0
2019-01-01,125.4
2019-02-01,125.5
2019-03-01,125.5
2019-04-01,125.8
2019-05-01,125.8
2019-06-01,125.9
2019-07-01,126.2
2019-08-01,126.4
2019-09-01,126.4
2019-10-01,127.3
2019-11-01,127.4
2019-12-01,127.3
2020-01-01,128.0
2020-02-01,128.2
2020-03-01,128.2
2020-04-01,128.6
2020-05-01,129.4
2020-06-01,129.6
2020-07-01,130.1
2020-08-01,130.7
2020-09-01,130.6
2020-10-01,131.0
2020-11-01,131.0
2020-12-01,131.0
2021-01-01,132.4
2021-02-01,133.2
2021-03-01,133.3
2021-04-01,133.3
2021-05-01,133.4
2021-06-01,133.2
2021-07-01,133.554
2021-08-01,133.772
2021-09-01,133.912
2021-10-01,134.148
2021-11-01,134.306
2021-12-01,134.462
2022-01-01,135.757
2022-02-01,135.814
2022-03-01,135.817
2022-04-01,135.605
2022-05-01,135.884
2022-06-01,136.490
2022-07-01,136.992
2022-08-01,137.271
2022-09-01,137.288
2022-10-01,137.826
2022-11-01,137.742
2022-12-01,137.929
2023-01-01,138.561
2023-02-01,138.968
2023-03-01,139.192
2023-04-01,139.684
2023-05-01,139.904
2023-06-01,139.867
2023-07-01,140.478
2023-08-01,140.610
2023-09-01,140.421
2023-10-01,141.443
2023-11-01,141.561
2023-12-01,141.610
2024-01-01,143.053
2024-02-01,143.395
2024-03-01,143.528
2024-04-01,143.682
2024-05-01,144.107
2024-06-01,144.160
2024-07-01,144.528
2024-08-01,144.890
2024-09-01,145.030
